EmpID, ProjectID, DateFrom,   DateTo
1,     101,       2014-11-01, 2015-05-01
2,     101,       2013-12-06, 2014-10-06
5,     101,       2015-07-09, 2019-01-19
6,     101,       2014-03-15, 2014-03-16
1,     103,       2013-11-01, 2016-05-01
2,     103,       2014-06-05, 2015-05-14
3,     103,       2015-06-04, 2017-09-04
4,     103,       2016-02-14, 2017-03-15
3,     100,       2016-03-01, 2018-07-03
5,     100,       2013-03-07, 2015-11-07
3,     102,       2015-06-04, 2017-09-04
4,     102,       2013-11-13, 2014-03-13
5,     102,       2014-03-15, NULL
6,     102,       2003-12-06, 2004-10-06
2,     102,       2004-03-15, 2004-03-16
4,     104,       2014-10-01, 2015-12-01






